Number_of_announcements,Number_of_announced_NLRI_prefixes,Average_AS_path_length,Average_unique_AS_path_length,Number_of_duplicate_announcements,Maximum_edit_distance,Maximum_AS_path_length,Number_of_Interior_Gateway_Protocol_IGP_packets,Labels
25,95,6,6,35,0.5,13,25,Normal
36,116,6,6,23,0.7,11,33,Normal
53,108,5,5,47,100,8,50,Normal
42,64,5,6,23,0.8,7,38,Normal
57,75,6,6,27,1,12,57,Normal
68,164,6,6,51,1.2,11,66,Normal
45,67,6,6,20,0.9,8,50,Normal
58,96,7,7,32,1.1,12,54,Normal
40,77,8,7,26,0.7,19,40,Normal
29,54,8,7,18,0.5,24,29,Normal
50,83,5,5,34,0.9,10,47,Normal
53,64,6,7,21,1,15,56,Normal
57,73,5,6,34,1.1,12,62,Normal
21,35,6,7,24,0.5,13,25,Normal
38,85,6,6,27,0.8,14,43,Normal
64,144,6,6,69,1.1,9,68,Normal
32,40,6,6,13,0.6,13,31,Normal
31,35,6,6,6,0.6,15,31,Normal
38,74,6,6,24,0.6,11,38,Normal
55,173,5,5,53,0.9,7,49,Normal
49,330,5,5,96,0.9,8,44,Normal
52,218,5,5,79,1,8,46,Normal
27,50,6,6,10,0.5,16,22,Normal
50,87,7,7,29,0.9,19,45,Normal
44,116,5,5,26,0.8,8,38,Normal
62,153,6,6,46,1.1,12,58,Normal
69,127,6,6,74,1.3,14,58,Normal
58,76,5,5,38,1.1,11,53,Normal
22,41,5,5,12,0.4,9,22,Normal
23,47,4,4,17,0.4,5,23,Normal
51,135,5,5,28,0.9,8,50,Normal
38,68,5,5,35,0.7,8,36,Normal
52,202,5,5,73,0.9,9,48,Normal
50,133,5,5,57,0.8,8,45,Normal
46,127,6,6,18,0.8,13,44,Normal
112,294,6,6,211,2,14,107,Normal
58,156,6,6,66,1,16,58,Normal
25,27,7,7,9,0.5,19,25,Normal
38,50,6,5,9,0.7,7,35,Normal
48,103,5,6,18,0.9,9,48,Normal
65,202,6,6,86,1.2,9,61,Normal
68,136,6,6,49,1.2,14,63,Normal
83,204,7,7,55,1.5,13,70,Normal
101,232,7,7,86,1.8,14,89,Normal
56,122,6,6,49,1,9,49,Normal
26,32,5,5,10,0.5,8,26,Normal
48,71,5,6,17,0.9,11,47,Normal
50,88,6,6,49,0.9,7,50,Normal
58,92,6,6,32,1,12,49,Normal
50,59,6,6,17,0.9,12,48,Normal
55,84,5,5,29,1,9,55,Normal
31,57,6,6,18,0.6,10,31,Normal
41,62,6,6,17,0.8,10,37,Normal
40,60,6,6,18,0.8,15,40,Normal
39,58,8,8,18,0.7,30,38,Normal
46,130,6,6,43,0.8,10,45,Normal
62,146,6,6,58,1.1,8,62,Normal
113,343,6,6,171,200,10,111,Normal
80,200,6,6,52,1.4,10,80,Normal
94,237,6,6,90,1.6,9,94,Normal
26,55,5,5,11,0.5,9,24,Normal
86,254,7,7,71,1.5,15,85,Normal
110,230,7,7,59,200,18,112,Normal
80,176,6,6,53,1.4,16,80,Normal
49,99,6,6,25,0.9,16,49,Normal
75,145,5,5,71,1.4,10,75,Normal
68,140,6,6,61,1.2,12,68,Normal
65,116,6,6,56,1.1,12,65,Normal
59,88,7,7,28,1,12,58,Normal
83,227,6,6,135,1.4,9,83,Normal
79,163,7,7,74,1.4,18,78,Normal
77,105,6,6,23,1.3,13,75,Normal
79,129,6,7,64,1.4,13,76,Normal
108,520,7,7,201,1.9,16,100,Normal
173,907,6,7,1164,3,29,171,Normal
67,139,6,6,40,1.2,12,67,Normal
23,83,7,7,28,0.4,12,23,Normal
32,78,6,6,13,0.6,29,27,Normal
48,108,5,5,38,0.9,8,48,Normal
59,94,7,7,26,1,16,59,Normal
45,56,6,7,19,0.9,11,45,Normal
23,48,5,5,16,0.4,7,21,Normal
33,124,5,5,45,0.5,7,33,Normal
76,176,6,6,23,1.3,12,69,Normal
195,836,6,6,314,3.4,12,185,Normal
82,440,6,6,217,1.4,12,82,Normal
46,87,5,5,20,0.8,8,46,Normal
68,134,5,6,77,1.2,10,64,Normal
73,201,7,6,96,1.3,12,69,Normal
108,206,6,6,58,1.9,12,108,Normal
34,89,6,6,13,0.7,10,32,Normal
52,145,6,6,24,1,11,51,Normal
64,329,6,6,23,1.1,10,64,Normal
44,115,6,6,38,0.9,12,44,Normal
120,241,6,6,88,2,12,120,Normal
68,142,7,7,36,1.2,14,68,Normal
92,135,6,6,50,1.6,16,90,Normal
112,162,6,6,67,2,13,104,Normal
68,117,8,8,33,1.2,22,61,Normal
55,113,6,5,39,100,17,53,Normal
64,151,6,6,55,1.2,12,60,Normal
64,201,6,6,96,1.2,18,61,Normal
64,355,6,6,135,1.1,12,63,Normal
71,412,6,6,146,1.3,19,69,Normal
42,75,6,6,24,0.8,24,42,Normal
51,66,5,5,21,0.9,9,49,Normal
30,39,5,5,12,0.6,7,30,Normal
66,96,6,6,21,1.2,18,66,Normal
83,140,6,6,52,1.5,13,78,Normal
82,141,5,5,43,1.4,10,80,Normal
258,408,7,8,43,4.3,18,250,Normal
424,603,9,9,242,7.1,20,415,Normal
155,219,9,9,59,2.7,22,144,Normal
117,155,9,10,50,2,21,113,Normal
128,355,8,8,126,2.3,21,125,Normal
101,309,7,7,114,1.8,16,99,Normal
79,276,6,6,116,1.4,15,76,Normal
59,73,6,6,28,1.8,10,100,Normal
341,567,7,7,167,5.8,16,335,Normal
253,457,7,7,162,4.4,16,252,Normal
80,179,6,6,64,1.4,12,80,Normal
48,82,5,5,40,0.9,9,48,Normal
33,87,6,5,36,0.6,9,32,Normal
52,89,6,6,28,0.9,10,48,Normal
40,83,6,6,28,0.7,13,38,Normal
48,107,6,6,52,0.8,13,43,Normal
42,65,6,5,21,0.8,8,41,Normal
72,260,5,5,225,1.3,8,71,Normal
110,294,5,5,36,1.9,17,105,Normal
41,55,5,5,30,0.7,8,41,Normal
48,98,6,5,51,0.8,9,47,Normal
62,98,6,6,33,1.1,9,62,Normal
75,109,5,5,32,1.3,9,74,Normal
96,334,6,6,110,1.6,10,96,Normal
95,281,6,6,173,1.7,12,95,Normal
109,138,6,6,57,1.9,16,109,Normal
56,127,6,6,52,1,12,56,Normal
64,130,6,6,48,1.1,16,63,Normal
50,98,5,5,30,0.9,9,45,Normal
55,121,6,6,32,1,12,55,Normal
34,90,6,6,26,0.6,9,34,Normal
54,112,6,6,43,0.9,12,54,Normal
68,127,6,6,46,1.2,9,68,Normal
46,57,7,7,31,0.8,13,46,Normal
15,17,4,4,6,0.3,5,15,Normal
49,136,8,8,25,0.8,18,49,Normal
52,143,7,7,58,0.9,10,52,Normal
46,85,6,6,19,0.8,10,46,Normal
47,81,6,6,26,0.9,9,47,Normal
52,94,6,5,38,1,9,52,Normal
37,61,5,6,17,0.7,8,36,Normal
51,193,6,6,95,0.9,8,48,Normal
88,331,6,6,194,1.6,11,88,Normal
89,342,7,7,122,1.5,15,88,Normal
39,92,6,6,36,0.7,15,39,Normal
65,93,5,5,37,1.1,7,63,Normal
59,99,6,6,35,1,12,56,Normal
51,75,6,6,21,0.9,11,50,Normal
64,233,7,6,22,1.1,14,62,Normal
116,355,6,6,139,2.1,14,116,Normal
80,191,6,6,74,1.4,15,80,Normal
31,72,6,5,55,0.5,8,30,Normal
102,374,6,6,128,1.7,14,100,Normal
124,488,8,8,139,2.1,16,124,Normal
96,318,8,8,106,1.7,17,96,Normal
43,74,5,5,24,0.7,12,40,Normal
89,280,6,6,111,1.6,13,80,Normal
91,255,6,6,102,1.5,12,87,Normal
68,234,6,7,65,1.2,15,67,Normal
78,210,6,6,70,1.3,10,71,Normal
80,172,5,6,66,1.4,10,73,Normal
57,115,7,7,45,1.1,29,55,Normal
69,222,5,5,46,1.2,7,61,Normal
74,187,6,6,37,1.3,11,66,Normal
73,202,6,6,53,1.3,14,69,Normal
38,147,5,5,61,0.7,6,36,Normal
53,151,7,7,51,100,13,57,Normal
90,135,6,6,57,1.6,12,84,Normal
81,111,6,6,33,1.5,8,79,Normal
54,130,6,6,54,1.1,12,53,Normal
85,171,6,6,49,1.5,10,80,Normal
131,307,6,6,146,2.3,11,122,Normal
176,483,6,6,134,3.1,11,165,Normal
138,463,7,7,165,2.4,16,129,Normal
103,327,6,6,122,1.8,11,98,Normal
80,136,7,7,16,1.4,12,75,Normal
137,307,7,7,130,2.4,15,137,Normal
192,774,7,7,171,3.3,14,192,Normal
80,207,7,7,70,1.4,15,79,Normal
76,107,7,7,45,1.3,17,75,Normal
45,73,5,5,23,0.8,9,46,Normal
71,112,6,6,63,1.3,11,75,Normal
83,175,7,7,63,1.6,16,87,Normal
82,233,5,5,109,1.5,15,82,Normal
43,110,5,5,28,0.8,11,43,Normal
48,100,6,6,27,0.9,12,44,Normal
45,70,6,6,24,0.8,12,45,Normal
70,108,7,7,31,1.2,15,68,Normal
66,161,6,6,73,1.2,14,61,Normal
73,175,6,6,92,1.3,11,72,Normal
76,124,6,6,70,1.3,14,73,Normal
73,213,5,5,65,1.3,10,64,Normal
80,239,6,6,105,1.4,14,69,Normal
49,71,7,7,25,0.8,17,47,Normal
45,53,5,5,23,0.9,14,45,Normal
67,105,6,6,28,1.2,10,67,Normal
41,61,6,6,21,0.7,15,41,Normal
63,120,6,6,53,1.1,15,63,Normal
87,184,6,6,57,1.5,12,87,Normal
110,301,7,7,122,1.9,14,110,Normal
81,225,6,6,85,1.5,10,78,Normal
34,46,5,5,13,0.7,8,28,Normal
61,164,6,6,61,1.1,14,58,Normal
68,257,7,8,157,1.2,15,67,Normal
98,113,6,6,29,1.8,11,97,Normal
102,155,6,6,48,1.9,10,100,Normal
84,288,6,7,109,1.5,12,84,Normal
72,387,5,5,148,1.3,10,72,Normal
88,487,4,5,177,1.6,9,88,Normal
90,299,5,5,123,1.6,7,87,Normal
81,380,4,5,197,1.4,10,78,Normal
75,275,5,5,140,1.4,10,75,Normal
59,75,6,6,32,1.1,14,56,Normal
46,67,6,6,18,0.8,13,46,Normal
58,99,6,6,41,1,10,57,Normal
56,115,5,5,32,1,11,50,Normal
70,161,6,5,64,1.2,12,68,Normal
40,88,6,6,43,0.7,12,35,Normal
58,129,6,6,50,1,14,56,Normal
57,120,5,5,40,1,6,57,Normal
43,86,5,5,41,0.8,6,42,Normal
59,125,5,5,38,1.1,9,57,Normal
69,121,6,6,41,1.2,11,67,Normal
86,166,6,6,64,1.5,11,84,Normal
48,117,7,7,31,0.9,15,43,Normal
72,206,5,6,92,1.2,10,66,Normal
53,128,6,6,38,1,10,45,Normal
54,150,5,5,52,1,8,54,Normal
90,196,8,8,60,1.6,12,89,Normal
59,139,6,6,27,1,12,58,Normal
108,385,6,6,205,1.9,13,104,Normal
74,225,7,7,63,1.3,13,66,Normal
59,244,6,6,84,1,13,56,Normal
72,136,6,6,53,1.3,11,66,Normal
91,162,6,6,58,1.6,17,83,Normal
43,74,7,7,21,0.8,10,43,Normal
49,140,7,7,56,0.9,12,45,Normal
144,668,6,7,192,2.5,12,140,Normal
118,610,6,6,418,2.1,12,113,Normal
94,439,6,7,142,1.6,14,82,Normal
109,598,6,6,177,1.9,10,97,Normal
119,911,7,7,250,2.1,11,114,Normal
93,221,7,7,106,1.7,16,90,Normal
62,78,5,5,25,1.1,8,61,Normal
94,154,6,6,54,1.7,14,91,Normal
87,265,7,7,92,1.5,15,87,Normal
113,344,8,8,79,2.1,22,110,Normal
124,338,6,6,212,2.2,12,118,Normal
135,312,6,6,150,2.3,10,135,Normal
94,209,7,7,66,1.7,11,90,Normal
90,134,7,7,49,1.7,16,89,Normal
103,235,6,6,97,1.8,16,101,Normal
89,161,6,6,142,1.6,12,89,Normal
61,68,6,6,18,1.1,8,61,Normal
74,191,6,6,53,1.3,10,74,Normal
185,523,6,6,216,3.2,13,183,Normal
67,155,6,6,51,1.2,15,65,Normal
68,168,6,6,38,1.2,9,63,Normal
50,117,5,5,31,0.9,10,47,Normal
56,78,6,7,24,1,14,46,Normal
79,114,7,7,57,1.4,14,70,Normal
49,111,6,6,40,0.9,13,39,Normal
33,104,6,6,45,0.6,11,31,Normal
34,136,6,6,64,0.6,7,31,Normal
61,94,6,6,25,1.1,11,58,Normal
67,137,7,7,36,1.2,16,67,Normal
95,377,7,7,132,1.7,16,92,Normal
111,444,7,7,242,1.9,18,107,Normal
56,108,6,6,37,1,9,52,Normal
45,69,6,6,15,0.8,12,42,Normal
94,321,6,6,108,1.6,10,93,Normal
121,282,6,6,85,2.1,13,117,Normal
186,374,6,6,145,3.2,11,183,Normal
80,253,6,6,68,1.4,11,78,Normal
177,747,6,6,305,3.1,14,175,Normal
69,160,6,6,45,1.3,13,64,Normal
78,219,6,6,36,1.4,13,73,Normal
95,228,6,5,74,1.7,9,95,Normal
154,503,6,6,230,2.8,10,156,Normal
117,242,6,6,68,2.4,13,120,Normal
91,183,7,7,68,1.8,13,96,Normal
113,424,7,8,122,2.1,17,118,Normal
184,831,7,8,195,3.3,22,185,Normal
109,390,7,7,160,2,26,113,Normal
44,83,9,9,22,1,31,51,Normal
97,193,6,6,107,1.9,11,97,Normal
150,321,5,5,106,2.7,13,154,Normal
127,355,6,6,112,2.3,13,130,Normal
130,426,6,6,212,2.4,13,132,Normal
96,328,6,6,154,1.8,12,94,Normal
92,242,6,5,90,1.6,7,84,Normal
85,266,6,6,87,1.6,9,84,Normal
52,134,7,7,55,1,12,54,Normal
41,72,6,5,18,0.9,9,41,Normal
61,136,6,6,47,1.1,10,57,Normal
122,316,6,6,110,2.1,14,118,Normal
88,293,7,7,94,1.6,13,79,Normal
77,123,6,6,47,1.4,12,73,Normal
63,99,6,6,35,1.1,12,53,Normal
42,84,6,6,30,0.7,13,42,Normal
35,55,7,7,14,0.6,13,35,Normal
44,63,7,7,18,0.8,10,40,Normal
50,216,5,5,39,0.9,8,41,Normal
65,235,5,6,80,1.2,13,64,Normal
63,182,7,6,138,1.1,14,63,Normal
59,87,7,7,18,1.1,13,59,Normal
93,250,6,6,97,1.6,12,90,Normal
92,208,6,6,65,1.6,13,92,Normal
221,771,6,6,41,3.8,14,219,Normal
43,71,5,5,38,0.8,8,43,Normal
36,78,5,5,27,0.6,13,35,Normal
87,202,7,7,48,1.5,15,84,Normal
51,108,6,6,33,0.9,11,47,Normal
70,141,6,6,53,1.3,14,66,Normal
77,329,6,6,68,1.4,7,77,Normal
113,573,6,6,394,2,16,101,Normal
188,367,6,6,148,3.2,13,183,Normal
94,236,6,6,61,1.7,14,84,Normal
88,668,7,7,338,1.6,14,87,Normal
96,415,6,6,109,1.7,10,94,Normal
129,210,7,6,46,2.3,17,116,Normal
143,330,6,6,109,2.4,13,129,Normal
131,380,6,6,168,2.3,11,124,Normal
67,123,6,6,36,1.3,10,60,Normal
140,339,6,6,140,2.5,11,137,Normal
151,486,6,6,145,2.6,10,132,Normal
107,161,7,7,54,1.9,14,97,Normal
104,207,7,8,53,1.9,29,96,Normal
84,295,7,7,92,1.5,17,82,Normal
88,230,6,6,121,1.6,10,83,Normal
33,58,5,5,17,0.6,8,30,Normal
43,77,5,6,21,0.8,12,43,Normal
67,141,5,5,77,1.2,11,65,Normal
36,60,5,5,23,0.7,7,36,Normal
41,68,5,5,22,0.7,7,41,Normal
57,77,6,6,24,1,13,54,Normal
58,111,7,7,49,1,13,52,Normal
64,119,7,7,35,1.1,13,56,Normal
77,116,6,6,44,1.4,16,77,Normal
64,96,7,7,27,1.2,15,61,Normal
96,381,6,6,126,1.7,11,90,Normal
87,125,6,6,57,1.6,17,84,Normal
86,218,7,7,33,1.5,15,83,Normal
156,647,6,6,141,2.7,11,154,Normal
254,1916,6,6,764,4.3,12,247,Normal
135,706,6,7,164,2.3,11,129,Normal
210,1373,7,7,727,3.7,26,209,Normal
98,331,8,9,48,1.7,14,95,Normal
61,113,8,8,18,1.2,14,55,Normal
95,385,7,7,277,1.7,14,91,Normal
51,175,6,6,66,0.9,11,49,Normal
85,184,7,7,71,1.5,15,82,Normal
58,87,7,7,30,1.1,14,51,Normal
59,104,7,6,44,1,15,55,Normal
135,249,6,6,132,2.4,14,135,Normal
71,124,6,6,34,1.3,19,70,Normal
43,75,6,6,21,0.8,14,46,Normal
177,653,6,6,46,3,14,167,Normal
4323,24292,5,5,297,72,19,4091,Normal
9924,50992,5,5,532,165,19,9421,Normal
4633,27455,5,6,284,77,22,4372,Normal
238,828,7,7,320,4.1,16,236,Normal
109,346,8,8,109,1.9,17,107,Normal
100,251,8,8,37,1.8,15,99,Normal
131,938,7,7,110,2.3,12,127,Normal
230,2290,7,7,1083,400,13,230,Normal
45,97,5,5,39,0.8,12,43,Normal
48,100,6,6,44,0.9,13,48,Normal
55,91,6,6,27,1,11,53,Normal
118,422,6,6,168,2.1,11,118,Normal
83,372,6,6,123,1.5,15,83,Normal
66,296,9,9,224,1.2,17,66,Normal
110,305,7,7,97,1.9,21,106,Normal
84,243,6,6,76,1.5,19,78,Normal
84,183,6,6,93,1.5,13,84,Normal
51,86,6,6,42,0.9,12,51,Normal
61,155,7,6,60,1.1,14,56,Normal
71,155,7,7,55,1.3,15,69,Normal
61,93,8,8,41,1.1,15,60,Normal
142,201,7,7,75,2.4,16,138,Normal
175,250,6,7,78,3,13,156,Normal
58,111,6,6,30,1,14,57,Normal
145,406,5,5,188,2.5,11,142,Normal
87,226,5,6,104,1.5,7,87,Normal
42,69,5,5,19,0.8,9,42,Normal
52,107,6,6,37,0.9,14,51,Normal
96,147,7,8,72,1.7,14,96,Normal
83,101,7,6,37,1.5,13,83,Normal
37,74,5,5,23,0.7,10,35,Normal
55,85,6,6,26,1,10,55,Normal
30,46,6,6,12,0.6,16,30,Normal
37,63,7,7,23,0.7,19,37,Normal
38,80,5,5,31,0.7,7,38,Normal
117,2344,6,6,960,1.9,14,110,Normal
73,152,7,7,53,1.3,15,72,Normal
68,160,6,7,152,1.2,16,66,Normal
87,179,5,5,75,1.6,10,87,Normal
103,259,5,5,66,1.8,10,103,Normal
53,90,6,6,38,100,13,50,Normal
164,611,6,6,98,2.8,13,159,Normal
96,249,6,6,91,1.7,13,92,Normal
80,154,7,7,57,1.4,11,80,Normal
99,448,6,6,158,1.7,13,94,Normal
44,156,5,5,71,0.8,14,44,Normal
51,72,6,5,26,100,8,51,Normal
72,114,6,6,48,1.3,12,72,Normal
76,322,6,6,120,1.4,18,76,Normal
108,498,6,6,381,1.9,10,107,Normal
115,267,6,6,158,2.1,12,115,Normal
88,255,6,6,138,1.5,12,88,Normal
47,124,6,6,33,0.9,10,47,Normal
64,265,6,6,196,1.1,10,59,Normal
89,249,7,7,104,1.6,16,79,Normal
78,190,6,6,72,1.4,16,77,Normal
91,239,6,6,85,1.7,11,91,Normal
102,273,6,6,110,1.8,12,102,Normal
63,68,6,6,22,1.1,12,62,Normal
79,87,7,7,24,1.4,16,79,Normal
64,92,6,6,34,1.1,16,63,Normal
86,132,6,6,53,1.6,15,84,Normal
56,92,5,5,40,1.1,8,52,Normal
72,103,6,6,35,1.4,11,70,Normal
80,149,6,6,55,1.4,11,79,Normal
66,117,6,6,44,1.2,11,68,Normal
96,190,7,7,68,1.8,14,100,Normal
94,205,8,8,61,1.7,14,95,Normal
67,138,7,7,72,1.2,14,67,Normal
111,396,7,7,138,1.8,14,110,Normal
151,338,6,7,132,2.6,16,151,Normal
133,356,5,6,170,2.3,10,133,Normal
57,82,6,6,30,1,11,56,Normal
59,97,6,7,41,1.1,13,54,Normal
62,107,6,6,40,1.1,13,56,Normal
75,136,6,6,65,1.3,13,75,Normal
58,96,5,5,23,1,10,58,Normal
62,76,5,6,31,1.1,16,62,Normal
83,118,7,7,45,1.5,19,83,Normal
67,113,6,7,38,1.2,15,66,Normal
82,115,6,6,57,1.5,10,79,Normal
68,156,5,5,52,1.3,8,65,Normal
79,173,6,6,108,1.4,12,77,Normal
46,88,6,6,34,0.8,11,45,Normal
56,69,7,7,23,1,14,54,Normal
59,136,7,7,69,1.1,18,57,Normal
146,209,6,6,77,2.6,18,140,Normal
120,199,7,7,87,2.2,17,120,Normal
184,520,7,7,308,3.3,18,182,Normal
146,379,8,7,167,2.6,19,143,Normal
84,201,7,7,108,1.5,16,83,Normal
123,424,6,6,173,2.2,14,123,Normal
79,281,7,7,116,1.4,11,79,Normal
89,222,6,7,31,1.5,11,86,Normal
52,121,6,6,44,0.9,10,50,Normal
63,335,5,5,113,1.2,10,59,Normal
76,172,7,6,36,1.4,15,76,Normal
35,55,6,6,14,0.7,15,35,Normal
52,131,6,6,56,0.9,8,50,Normal
73,188,6,7,66,1.3,17,68,Normal
65,132,6,6,78,1.2,15,65,Normal
96,144,6,7,74,1.7,18,94,Normal
129,715,6,6,241,2.3,24,129,Normal
101,321,6,6,227,1.7,12,97,Normal
143,710,6,6,311,2.5,22,143,Normal
60,173,6,6,34,1.2,11,57,Normal
60,239,6,6,55,1.1,11,59,Normal
88,202,7,7,83,1.6,17,84,Normal
84,130,7,7,40,1.6,18,86,Normal
85,125,6,7,50,1.7,18,88,Normal
137,201,6,6,58,2.5,15,140,Normal
112,147,7,7,43,2.2,19,119,Normal
78,117,7,7,22,1.5,21,83,Normal
90,149,7,8,47,1.8,22,94,Normal
47,71,9,10,26,1.1,26,57,Normal
67,152,8,9,47,1.4,30,75,Normal
59,153,8,9,68,1.2,38,65,Normal
47,81,6,7,30,0.9,38,48,Normal
