Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
53,7,290,253,52,1,Normal
88,5,387,14,87,1,Normal
64,8,272,146,63,1,Normal
89,5,256,13,89,0,Normal
109,8,293,105,99,10,Normal
38,5,52,34,37,1,Normal
115,7,187,35,111,4,Normal
83,6,152,39,76,7,Normal
60,7,124,87,58,2,Normal
71,8,199,33,69,2,Normal
147,7,533,35,129,18,Normal
88,9,240,82,85,3,Normal
97,8,246,39,95,2,Normal
58,8,130,83,57,1,Normal
127,7,390,112,121,6,Normal
112,7,452,75,109,3,Normal
67,6,142,95,67,0,Normal
114,9,233,35,108,6,Normal
59,6,112,35,59,0,Normal
103,7,228,32,103,0,Normal
154,8,451,46,145,9,Normal
128,8,310,31,124,4,Normal
60,7,99,31,57,3,Normal
115,4,198,13,113,2,Normal
55,6,90,46,50,5,Normal
55,4,84,7,53,2,Normal
66,4,112,11,66,0,Normal
124,10,280,25,122,2,Normal
120,7,256,22,120,0,Normal
112,7,244,57,108,4,Normal
100,9,194,35,96,4,Normal
83,6,196,30,82,1,Normal
107,6,225,25,104,3,Normal
110,6,290,24,110,0,Normal
121,7,249,59,109,12,Normal
87,7,168,30,86,1,Normal
90,6,143,31,86,4,Normal
52,6,107,52,45,7,Normal
145,6,449,42,139,6,Normal
150,3,549,20,138,12,Normal
72,7,134,52,62,10,Normal
244,8,852,39,239,5,Normal
198,7,932,18,181,17,Normal
92,6,402,138,82,10,Normal
93,8,321,76,79,14,Normal
85,10,215,34,80,5,Normal
80,8,170,83,78,2,Normal
90,7,188,55,81,9,Normal
59,9,109,23,55,4,Normal
105,6,183,63,104,1,Normal
94,8,215,26,93,1,Normal
76,7,137,67,70,6,Normal
82,7,155,64,71,11,Normal
59,9,91,31,49,10,Normal
113,5,222,11,106,7,Normal
79,5,132,29,65,14,Normal
65,8,123,46,61,4,Normal
82,3,125,16,80,2,Normal
111,8,192,55,106,5,Normal
87,9,162,44,84,3,Normal
83,6,169,55,80,3,Normal
67,6,100,19,66,1,Normal
86,6,180,26,75,11,Normal
70,8,111,15,57,13,Normal
79,6,128,20,69,10,Normal
99,10,213,78,89,10,Normal
60,6,188,76,52,8,Normal
61,8,138,28,59,2,Normal
87,6,187,14,83,4,Normal
73,6,153,24,70,3,Normal
86,7,230,47,76,10,Normal
62,8,97,28,54,8,Normal
54,6,77,37,52,2,Normal
73,6,158,31,67,6,Normal
115,9,286,104,113,2,Normal
92,8,165,68,88,4,Normal
71,6,157,29,63,8,Normal
74,7,115,21,68,6,Normal
81,7,234,24,60,21,Normal
64,7,146,47,52,12,Normal
53,8,89,34,50,3,Normal
69,7,137,30,57,12,Normal
97,7,179,28,81,16,Normal
57,7,71,48,54,3,Normal
51,4,63,14,43,8,Normal
66,8,115,26,51,15,Normal
54,7,91,14,51,3,Normal
66,6,166,24,62,4,Normal
82,7,157,32,74,8,Normal
56,7,109,35,51,5,Normal
92,6,231,34,86,6,Normal
69,5,176,31,64,5,Normal
52,5,86,36,50,2,Normal
62,8,88,23,56,6,Normal
86,8,144,12,77,9,Normal
80,9,224,24,67,13,Normal
57,7,121,26,42,15,Normal
79,5,126,8,65,14,Normal
90,7,278,80,80,10,Normal
83,8,121,26,79,4,Normal
84,7,148,53,71,13,Normal
105,9,256,43,97,8,Normal
71,7,104,87,69,2,Normal
66,4,152,24,61,5,Normal
121,8,317,38,119,2,Normal
71,6,751,30,67,4,Normal
98,6,2071,23,96,2,Normal
118,13,1565,1335,109,9,Normal
99,8,1277,84,97,2,Normal
89,12,218,664,85,4,Normal
89,8,126,74,86,3,Normal
76,6,100,14,73,3,Normal
63,5,121,29,60,3,Normal
74,7,258,41,64,10,Normal
40,7,54,28,40,0,Normal
57,6,146,14,57,0,Normal
43,6,143,77,41,2,Normal
55,5,98,37,47,8,Normal
71,6,212,62,71,0,Normal
48,7,126,33,46,2,Normal
90,5,287,15,84,6,Normal
146,8,2268,42,139,7,Normal
149,15,2036,1290,146,3,Normal
80,12,744,609,75,5,Normal
97,9,171,72,81,16,Normal
63,6,115,51,54,9,Normal
39,7,90,20,37,2,Normal
74,5,160,11,71,3,Normal
115,7,217,32,106,9,Normal
111,8,243,15,97,14,Normal
81,8,112,28,75,6,Normal
53,5,87,14,47,6,Normal
65,5,141,23,58,7,Normal
97,4,173,18,90,7,Normal
32,5,71,54,29,3,Normal
39,6,113,29,36,3,Normal
86,7,247,34,80,6,Normal
70,7,163,19,61,9,Normal
107,7,250,49,97,10,Normal
97,6,291,20,90,7,Normal
75,5,136,15,72,3,Normal
94,7,188,40,81,13,Normal
64,6,111,36,57,7,Normal
55,6,211,77,52,3,Normal
219,6,632,40,214,5,Normal
92,8,338,23,86,6,Normal
60,7,128,43,57,3,Normal
63,10,120,41,60,3,Normal
90,5,273,18,83,7,Normal
198,8,565,63,187,11,Normal
88,8,172,97,83,5,Normal
67,6,292,29,62,5,Normal
84,7,130,22,63,21,Normal
104,6,416,17,95,9,Normal
361,8,1066,33,356,5,Normal
161,9,393,37,156,5,Normal
97,6,139,9,93,4,Normal
124,7,218,99,119,5,Normal
85,9,128,55,81,4,Normal
66,6,103,25,58,8,Normal
73,6,195,26,60,13,Normal
104,5,389,14,94,10,Normal
122,7,365,15,111,11,Normal
114,5,182,57,101,13,Normal
144,8,407,44,140,4,Normal
139,4,311,50,130,9,Normal
92,7,160,61,87,5,Normal
93,6,246,44,86,7,Normal
128,7,316,56,124,4,Normal
102,5,213,44,91,11,Normal
80,6,169,28,72,8,Normal
70,5,222,18,59,11,Normal
89,5,241,95,77,12,Normal
98,5,359,27,87,11,Normal
86,5,204,47,77,9,Normal
100,7,200,54,93,7,Normal
38,5,79,30,36,2,Normal
105,7,344,51,96,9,Normal
98,10,276,53,90,8,Normal
112,7,355,23,95,17,Normal
106,8,162,39,96,10,Normal
106,6,173,41,94,12,Normal
125,6,238,31,112,13,Normal
89,8,164,64,81,8,Normal
67,5,128,31,62,5,Normal
71,5,179,40,68,3,Normal
80,7,215,46,71,9,Normal
72,7,150,47,62,10,Normal
51,7,85,99,47,4,Normal
56,6,152,36,53,3,Normal
106,8,276,61,104,2,Normal
71,8,108,106,61,10,Normal
53,7,137,14,48,5,Normal
38,5,80,19,37,1,Normal
47,7,137,22,43,4,Normal
57,9,113,47,46,11,Normal
78,6,140,22,74,4,Normal
49,5,128,33,48,1,Normal
77,9,109,27,74,3,Normal
86,6,221,66,79,7,Normal
66,6,270,15,58,8,Normal
53,4,157,13,47,6,Normal
116,5,368,9,106,10,Normal
145,9,452,25,135,10,Normal
49,6,103,23,44,5,Normal
89,7,228,14,83,6,Normal
124,6,351,19,100,24,Normal
175,5,562,87,165,10,Normal
69,6,186,110,66,3,Normal
92,7,152,19,85,7,Normal
91,8,150,63,74,17,Normal
229,9,733,67,198,31,Normal
160,8,321,82,125,35,Normal
88,7,146,40,77,11,Normal
76,6,156,40,73,3,Normal
73,8,151,88,70,3,Normal
71,7,103,81,66,5,Normal
62,7,128,17,56,6,Normal
77,7,140,21,66,11,Normal
76,6,207,16,64,12,Normal
64,7,155,17,60,4,Normal
103,9,237,27,92,11,Normal
73,6,168,12,65,8,Normal
75,8,113,73,70,5,Normal
77,8,111,101,72,5,Normal
61,6,155,18,61,0,Normal
55,6,78,22,52,3,Normal
59,7,97,16,54,5,Normal
90,8,222,15,90,0,Normal
48,5,62,9,46,2,Normal
60,6,129,21,60,0,Normal
50,5,68,75,49,1,Normal
86,7,184,30,84,2,Normal
83,8,272,82,80,3,Normal
91,7,249,36,89,2,Normal
186,8,601,54,165,21,Normal
123,8,261,14,106,17,Normal
93,7,148,23,88,5,Normal
54,9,78,32,52,2,Normal
43,6,62,30,39,4,Normal
65,6,110,32,59,6,Normal
62,7,85,56,59,3,Normal
68,5,173,17,61,7,Normal
62,9,211,67,56,6,Normal
83,7,282,82,72,11,Normal
105,8,320,122,90,15,Normal
103,8,396,23,84,19,Normal
69,10,172,73,67,2,Normal
105,5,231,29,97,8,Normal
73,8,165,44,69,4,Normal
62,5,94,15,56,6,Normal
43,7,61,42,40,3,Normal
60,6,125,24,47,13,Normal
115,10,396,32,105,10,Normal
83,7,267,20,70,13,Normal
84,9,204,28,63,21,Normal
93,7,230,17,85,8,Normal
49,8,72,27,48,1,Normal
107,8,328,57,87,20,Normal
79,6,326,56,62,17,Normal
74,6,332,24,70,4,Normal
118,9,314,159,107,11,Normal
183,8,498,31,141,42,Normal
129,9,378,26,92,37,Normal
99,11,167,81,80,19,Normal
74,6,102,15,67,7,Normal
56,7,114,51,54,2,Normal
64,6,157,14,54,10,Normal
83,7,312,24,70,13,Normal
112,9,420,32,100,12,Normal
87,7,255,94,70,17,Normal
65,8,168,46,47,18,Normal
81,11,232,79,66,15,Normal
99,6,306,55,94,5,Normal
69,7,245,78,62,7,Normal
113,6,365,85,89,24,Normal
68,6,191,18,55,13,Normal
52,6,114,22,39,13,Normal
87,8,150,24,78,9,Normal
82,8,166,50,73,9,Normal
70,7,127,25,62,8,Normal
97,6,215,31,81,16,Normal
87,8,206,50,74,13,Normal
75,8,161,115,58,17,Normal
61,7,148,40,58,3,Normal
93,6,296,92,88,5,Normal
105,7,290,19,99,6,Normal
68,7,223,15,64,4,Normal
58,6,112,82,56,2,Normal
66,5,142,68,60,6,Normal
58,7,118,44,54,4,Normal
43,6,103,65,41,2,Normal
52,7,95,42,49,3,Normal
50,7,80,22,44,6,Normal
58,10,83,22,44,14,Normal
84,7,298,99,80,4,Normal
110,5,316,25,103,7,Normal
64,5,129,12,53,11,Normal
93,7,223,21,73,20,Normal
76,8,120,56,64,12,Normal
74,5,101,17,69,5,Normal
51,6,138,18,46,5,Normal
91,7,296,92,75,16,Normal
60,7,169,49,54,6,Normal
94,5,307,11,66,28,Normal
49,6,56,22,44,5,Normal
63,8,138,31,54,9,Normal
124,9,349,43,96,28,Normal
96,9,292,35,77,19,Normal
71,7,139,40,54,17,Normal
143,7,459,36,112,31,Normal
86,6,169,36,66,20,Normal
53,8,174,53,37,16,Normal
71,6,180,43,51,20,Normal
100,7,247,54,84,16,Normal
205,7,551,40,181,24,Normal
225,7,565,26,201,24,Normal
129,7,261,32,111,18,Normal
42,6,71,32,37,5,Normal
106,7,238,16,97,9,Normal
77,8,181,41,73,4,Normal
72,8,120,36,68,4,Normal
82,5,186,52,69,13,Normal
66,7,183,22,63,3,Normal
49,7,101,102,38,11,Normal
44,6,89,15,42,2,Normal
50,8,104,50,47,3,Normal
107,7,355,30,88,19,Normal
101,7,376,26,85,16,Normal
65,5,179,41,53,12,Normal
40,7,128,30,30,10,Normal
98,6,385,20,88,10,Normal
82,6,124,40,69,13,Normal
44,6,77,51,33,11,Normal
68,8,165,92,50,18,Normal
93,6,257,18,74,19,Normal
95,7,281,56,80,15,Normal
60,5,131,58,53,7,Normal
69,8,139,50,59,10,Normal
67,8,164,67,56,11,Normal
96,6,251,65,80,16,Normal
97,8,263,60,89,8,Normal
60,9,144,71,58,2,Normal
96,5,187,33,86,10,Normal
64,7,106,35,59,5,Normal
65,7,95,21,58,7,Normal
141,7,438,37,119,22,Normal
65,6,185,23,52,13,Normal
87,7,141,23,76,11,Normal
144,9,258,48,128,16,Normal
147,8,309,27,135,12,Normal
75,5,146,66,70,5,Normal
57,6,83,33,55,2,Normal
105,8,221,29,98,7,Normal
71,6,174,24,67,4,Normal
65,9,97,61,54,11,Normal
72,6,129,88,57,15,Normal
87,7,153,30,86,1,Normal
45,7,69,60,42,3,Normal
49,6,75,18,44,5,Normal
48,6,68,12,46,2,Normal
39,6,68,15,37,2,Normal
53,9,99,19,46,7,Normal
69,7,181,19,64,5,Normal
69,5,161,31,60,9,Normal
80,8,150,42,75,5,Normal
126,7,270,78,114,12,Normal
116,7,241,18,110,6,Normal
72,4,149,38,71,1,Normal
121,8,224,25,108,13,Normal
161,8,414,62,150,11,Normal
67,6,124,21,65,2,Normal
60,4,115,18,55,5,Normal
66,7,110,87,63,3,Normal
93,7,150,93,86,7,Normal
65,6,106,17,61,4,Normal
72,6,138,17,55,17,Normal
70,8,118,30,60,10,Normal
107,6,342,20,101,6,Normal
86,7,285,48,81,5,Normal
84,6,137,25,77,7,Normal
110,5,212,20,100,10,Normal
204,7,473,97,189,15,Normal
197,6,454,15,188,9,Normal
151,6,463,20,133,17,Normal
44,5,343,19,38,6,Normal
108,7,286,28,104,4,Normal
64,7,139,31,61,3,Normal
61,5,111,27,56,5,Normal
52,5,83,30,49,3,Normal
63,5,130,26,58,5,Normal
68,5,241,19,62,6,Normal
34,5,52,24,27,7,Normal
36,4,71,17,28,8,Normal
66,7,147,36,49,17,Normal
69,6,137,20,58,11,Normal
35,5,53,11,33,2,Normal
36,7,55,13,32,4,Normal
95,6,359,19,79,16,Normal
65,7,188,22,50,15,Normal
82,6,218,26,66,16,Normal
91,7,296,38,82,9,Normal
64,7,124,54,51,13,Normal
44,4,87,13,36,8,Normal
43,4,69,19,31,12,Normal
51,6,87,10,40,11,Normal
42,7,90,20,32,10,Normal
43,5,123,34,38,5,Normal
51,6,130,17,46,5,Normal
27,2,42,3,24,3,Normal
42,5,64,23,30,12,Normal
42,3,61,10,36,6,Normal
52,7,70,18,39,13,Normal
47,5,82,7,40,7,Normal
37,5,96,42,36,1,Normal
41,6,81,15,33,8,Normal
46,5,55,10,43,3,Normal
81,5,144,10,72,7,Normal
67,5,122,10,54,13,Normal
61,4,234,12,52,9,Normal
54,5,82,53,47,7,Normal
57,7,178,61,48,9,Normal
60,7,171,67,47,13,Normal
64,4,119,11,59,5,Normal
41,6,66,12,39,2,Normal
58,6,154,24,56,2,Normal
31,6,88,13,31,0,Normal
66,4,102,28,64,2,Normal
47,5,83,9,46,1,Normal
37,6,47,9,36,1,Normal
36,5,54,8,32,4,Normal
23,1,30,2,21,2,Normal
29,6,84,14,26,3,Normal
98,6,299,210,96,2,Normal
133,8,362,215,129,4,Normal
139,7,372,178,125,14,Normal
59,7,121,50,54,5,Normal
34,7,45,77,29,5,Normal
44,3,93,20,35,9,Normal
70,5,150,43,59,11,Normal
71,5,168,21,58,13,Normal
53,5,124,43,40,13,Normal
73,6,148,41,56,17,Normal
56,6,98,17,48,8,Normal
48,5,85,18,48,0,Normal
47,5,64,13,40,7,Normal
33,3,49,4,29,4,Normal
36,5,56,9,30,6,Normal
51,7,80,16,43,8,Normal
63,5,109,14,56,7,Normal
71,5,191,54,65,6,Normal
65,6,174,41,58,7,Normal
60,5,144,27,46,14,Normal
61,7,106,44,43,13,Normal
64,5,164,58,45,15,Normal
64,5,159,10,42,21,Normal
58,6,80,23,42,16,Normal
58,7,115,27,50,8,Normal
118,4,420,7,104,14,Normal
148,6,573,18,134,14,Normal
56,6,87,17,42,14,Normal
75,6,159,18,59,16,Normal
35,5,62,26,30,5,Normal
51,6,190,61,46,5,Normal
47,5,181,14,45,2,Normal
59,5,111,19,47,12,Normal
53,6,119,45,43,10,Normal
62,5,114,38,57,5,Normal
116,7,300,33,101,15,Normal
96,6,288,14,87,9,Normal
35,5,93,9,30,5,Normal
30,6,53,10,28,2,Normal
60,5,89,20,56,4,Normal
61,7,100,23,59,2,Normal
39,6,62,22,34,5,Normal
78,8,122,32,66,12,Normal
32,6,74,31,30,2,Normal
40,5,68,8,32,8,Normal
44,4,69,21,38,6,Normal
25,6,48,9,20,5,Normal
55,6,96,22,47,8,Normal
25,4,46,7,25,0,Normal
39,3,52,5,35,4,Normal
30,4,40,6,25,5,Normal
31,5,42,11,24,7,Normal
41,2,80,7,40,1,Normal
25,7,44,13,23,2,Normal
38,3,95,7,36,2,Normal
35,3,43,6,32,3,Normal
36,6,67,8,28,8,Normal
43,5,87,9,28,15,Normal
38,5,66,13,32,6,Normal
25,5,48,16,21,4,Normal
36,4,63,20,31,5,Normal
43,5,88,15,35,8,Normal
48,5,87,21,44,4,Normal
44,4,93,35,34,10,Normal
46,6,66,15,45,1,Normal
40,5,56,16,35,5,Normal
43,6,58,12,42,1,Normal
53,6,92,16,49,4,Normal
116,4,814,8,88,28,Normal
260,6,2628,23,148,112,Normal
69,7,99,24,60,9,Normal
30,5,36,10,29,1,Normal
51,5,145,44,46,5,Normal
43,5,138,6,36,7,Normal
52,4,139,11,46,6,Normal
31,6,40,23,21,10,Normal
45,7,490,16,34,11,Normal
43,9,105,213,42,1,Normal
43,3,448,10,36,7,Normal
32,5,234,22,27,5,Normal
51,4,253,8,34,17,Normal
45,7,53,216,33,12,Normal
54,3,96,21,42,12,Normal
62,7,137,16,53,9,Normal
59,6,122,24,56,3,Normal
46,3,84,6,38,8,Normal
38,5,82,8,30,8,Normal
56,5,125,50,52,4,Normal
50,4,81,12,37,13,Normal
57,6,98,21,52,5,Normal
52,6,84,15,44,8,Normal
44,5,82,16,32,12,Normal
24,4,44,11,22,2,Normal
45,5,135,50,34,11,Normal
32,5,69,61,30,2,Normal
19,4,96,5,16,3,Normal
13,4,27,16,12,1,Normal
33,4,73,14,31,2,Normal
41,6,88,35,40,1,Normal
95,5,217,21,85,10,Normal
173,5,731,31,158,15,Normal
80,3,168,13,71,9,Normal
40,6,91,18,39,1,Normal
83,5,268,10,77,6,Normal
90,4,179,52,80,10,Normal
107,7,275,14,101,6,Normal
44,8,79,24,42,2,Normal
53,5,91,39,48,5,Normal
65,5,169,24,58,7,Normal
18,4,25,5,16,2,Normal
42,4,70,7,38,4,Normal
59,5,104,12,46,13,Normal
50,5,108,10,48,2,Normal
39,5,72,11,35,4,Normal
56,7,155,25,41,15,Normal
49,4,73,17,45,4,Normal
48,4,71,24,44,4,Normal
52,6,81,27,52,0,Normal
54,3,102,9,49,5,Normal
37,6,66,20,31,6,Normal
57,4,94,9,40,17,Normal
50,6,82,34,44,6,Normal
42,7,67,33,38,4,Normal
33,5,57,12,24,9,Normal
46,3,70,4,33,13,Normal
36,3,44,8,31,5,Normal
60,7,106,33,55,5,Normal
42,6,66,22,38,4,Normal
35,7,67,20,33,2,Normal
39,5,88,8,34,5,Normal
47,6,123,16,43,4,Normal
54,5,96,23,51,3,Normal
51,6,100,25,48,3,Normal
43,4,59,9,34,9,Normal
50,6,123,12,37,13,Normal
49,8,132,19,41,8,Normal
45,4,90,28,34,11,Normal
64,5,173,20,51,13,Normal
36,3,51,16,20,16,Normal
39,5,62,24,30,9,Normal
35,6,61,14,32,3,Normal
85,8,209,31,82,3,Normal
83,6,306,30,80,3,Normal
58,5,132,18,56,2,Normal
74,6,328,33,59,15,Normal
47,5,123,7,36,11,Normal
105,8,571,33,96,9,Normal
42,6,64,24,38,4,Normal
37,7,59,25,35,2,Normal
